date,hour,temperature,rain_prob,rain_type
20230101,0,-0.2,0.0,0.0
20230101,1,0.6,0.0,0.0
20230101,2,2.2,0.0,0.0
20230101,3,3.1,0.0,0.0
20230101,4,3.2,0.0,0.0
20230101,5,2.9,0.0,0.0
20230101,6,2.5,0.0,0.0
20230101,7,1.1,0.0,0.0
20230101,8,-0.1,0.0,0.0
20230101,9,-1.1,0.0,0.0
20230101,10,-1.7,0.0,0.0
20230101,11,-2.2,0.0,0.0
20230101,12,-2.8,0.0,0.0
20230101,13,-3.6,0.0,0.0
20230101,14,-4.3,0.0,0.0
20230101,15,-5.1,0.0,0.0
20230101,16,-5.6,0.0,0.0
20230101,17,-6.1,0.0,0.0
20230101,18,-6.6,0.0,0.0
20230101,19,-6.8,0.0,0.0
20230101,20,-6.4,0.0,0.0
20230101,21,-6.6,0.0,0.0
20230101,22,-6.9,0.0,0.0
20230101,23,-6.2,0.0,0.0
20230102,0,-4.9,0.0,0.0
20230102,1,-3.4,0.0,0.0
20230102,2,-2.3,0.0,0.0
20230102,3,-2.0,0.0,0.0
20230102,4,-0.9,0.0,0.0
20230102,5,-0.5,0.0,0.0
20230102,6,-0.9,0.0,0.0
20230102,7,-2.0,0.0,0.0
20230102,8,-2.9,0.0,0.0
20230102,9,-3.3,0.0,0.0
20230102,10,-3.8,0.0,0.0
20230102,11,-4.4,0.0,0.0
20230102,12,-5.1,0.0,0.0
20230102,13,-5.9,0.0,0.0
20230102,14,-6.5,0.0,0.0
20230102,15,-7.2,0.0,0.0
20230102,16,-7.6,0.0,0.0
20230102,17,-8.1,0.0,0.0
20230102,18,-8.1,0.0,0.0
20230102,19,-8.6,0.0,0.0
20230102,20,-8.8,0.0,0.0
20230102,21,-8.7,0.0,0.0
20230102,22,-8.7,0.0,0.0
20230102,23,-7.5,0.0,0.0
20230103,0,-4.1,0.0,0.0
20230103,1,-3.0,0.0,0.0
20230103,2,-2.0,0.0,0.0
20230103,3,-0.5,0.0,0.0
20230103,4,-0.5,0.0,0.0
20230103,5,-0.3,0.0,0.0
20230103,6,0.0,0.0,0.0
20230103,7,-1.6,0.0,0.0
20230103,8,-2.6,0.0,0.0
20230103,9,-3.3,0.0,0.0
20230103,10,-3.8,0.0,0.0
20230103,11,-4.4,0.0,0.0
20230103,12,-4.9,0.0,0.0
20230103,13,-5.2,0.0,0.0
20230103,14,-5.2,0.0,0.0
20230103,15,-5.3,0.0,0.0
20230103,16,-5.4,0.0,0.0
20230103,17,-5.5,0.0,0.0
20230103,18,-4.8,0.0,0.0
20230103,19,-4.4,0.0,0.0
20230103,20,-4.0,0.0,0.0
20230103,21,-3.9,0.0,0.0
20230103,22,-4.4,0.0,0.0
20230103,23,-4.1,0.0,0.0
20230104,0,-1.9,0.0,0.0
20230104,1,0.8,0.0,0.0
20230104,2,2.1,0.0,0.0
20230104,3,2.0,0.0,0.0
20230104,4,2.5,0.0,0.0
20230104,5,3.1,0.0,0.0
20230104,6,2.7,0.0,0.0
20230104,7,1.4,0.0,0.0
20230104,8,0.3,0.0,0.0
20230104,9,-0.3,0.0,0.0
20230104,10,-1.2,0.0,0.0
20230104,11,-2.2,0.0,0.0
20230104,12,-2.8,0.0,0.0
20230104,13,-2.8,0.0,0.0
20230104,14,-3.2,0.0,0.0
20230104,15,-3.2,0.0,0.0
20230104,16,-3.7,0.0,0.0
20230104,17,-4.1,0.0,0.0
20230104,18,-4.3,0.0,0.0
20230104,19,-4.8,0.0,0.0
20230104,20,-5.0,0.0,0.0
20230104,21,-5.3,0.0,0.0
20230104,22,-5.5,0.0,0.0
20230104,23,-4.3,0.0,0.0
20230105,0,-2.4,0.0,0.0
20230105,1,-0.6,0.0,0.0
20230105,2,0.5,0.0,0.0
20230105,3,1.1,0.0,0.0
20230105,4,1.8,0.0,0.0
20230105,5,3.4,0.0,0.0
20230105,6,3.1,0.0,0.0
20230105,7,1.7,0.0,0.0
20230105,8,0.6,0.0,0.0
20230105,9,-0.3,0.0,0.0
20230105,10,-1.0,0.0,0.0
20230105,11,-1.2,0.0,0.0
20230105,12,-1.5,0.0,0.0
20230105,13,-1.7,0.0,0.0
20230105,14,-2.0,0.0,0.0
20230105,15,-2.3,0.0,0.0
20230105,16,-2.7,0.0,0.0
20230105,17,-3.2,0.0,0.0
20230105,18,-3.4,0.0,0.0
20230105,19,-3.6,0.0,0.0
20230105,20,-3.9,0.0,0.0
20230105,21,-4.2,0.0,0.0
20230105,22,-4.6,0.0,0.0
20230105,23,-2.7,0.0,0.0
20230106,0,-0.5,0.0,0.0
20230106,1,1.6,0.0,0.0
20230106,2,3.7,0.0,0.0
20230106,3,4.1,0.0,0.0
20230106,4,5.7,0.0,0.0
20230106,5,5.3,0.0,0.0
20230106,6,4.8,0.0,0.0
20230106,7,4.4,0.0,0.0
20230106,8,4.3,0.0,0.0
20230106,9,3.4,0.0,0.0
20230106,10,3.0,0.0,0.0
20230106,11,1.4,1.0,0.0
20230106,12,1.2,0.4,2.0
20230106,13,1.0,2.4,3.0
20230106,14,1.1,0.1,0.0
20230106,15,1.2,0.0,0.0
20230106,16,1.3,0.0,0.0
20230106,17,1.9,0.0,0.0
20230106,18,2.3,0.1,1.0
20230106,19,2.0,0.0,0.0
20230106,20,1.8,0.0,0.0
20230106,21,1.7,0.0,0.0
20230106,22,1.5,0.0,0.0
20230106,23,1.6,0.0,0.0
20230107,0,1.8,0.0,0.0
20230107,1,2.1,0.0,0.0
20230107,2,2.6,0.0,0.0
20230107,3,3.4,0.0,0.0
20230107,4,3.2,0.0,0.0
20230107,5,3.6,0.0,0.0
20230107,6,3.6,0.0,0.0
20230107,7,2.7,0.0,0.0
20230107,8,1.8,0.0,0.0
20230107,9,0.9,0.0,0.0
20230107,10,0.4,0.0,0.0
20230107,11,0.2,0.0,0.0
20230107,12,0.0,0.0,0.0
20230107,13,-0.9,0.0,0.0
20230107,14,-1.4,0.0,0.0
20230107,15,-1.8,0.0,0.0
20230107,16,-2.1,0.0,0.0
20230107,17,-2.4,0.0,0.0
20230107,18,-2.7,0.0,0.0
20230107,19,-3.1,0.0,0.0
20230107,20,-3.0,0.0,0.0
20230107,21,-3.3,0.0,0.0
20230107,22,-3.6,0.0,0.0
20230107,23,-2.7,0.0,0.0
20230108,0,-0.3,0.0,0.0
20230108,1,1.6,0.0,0.0
20230108,2,3.2,0.0,0.0
20230108,3,4.6,0.0,0.0
20230108,4,5.4,0.0,0.0
20230108,5,6.1,0.0,0.0
20230108,6,5.5,0.0,0.0
20230108,7,4.6,0.0,0.0
20230108,8,3.9,0.0,0.0
20230108,9,3.3,0.0,0.0
20230108,10,3.0,0.0,0.0
20230108,11,3.1,0.0,0.0
20230108,12,3.2,0.0,0.0
20230108,13,3.2,0.0,0.0
20230108,14,3.2,0.0,0.0
20230108,15,3.2,0.0,0.0
20230108,16,3.4,0.0,0.0
20230108,17,3.4,0.0,0.0
20230108,18,3.4,0.0,0.0
20230108,19,3.5,0.0,0.0
20230108,20,3.7,0.0,0.0
20230108,21,3.8,0.0,0.0
20230108,22,3.5,0.0,0.0
20230108,23,3.6,0.0,0.0
20230109,0,5.0,1.0,1.0
20230109,1,5.4,0.0,0.0
20230109,2,6.7,0.0,0.0
20230109,3,6.7,0.0,0.0
20230109,4,6.4,0.0,0.0
20230109,5,6.0,0.0,0.0
20230109,6,5.3,0.0,0.0
20230109,7,3.8,0.0,0.0
20230109,8,2.5,0.0,0.0
20230109,9,1.4,0.0,0.0
20230109,10,0.9,0.0,0.0
20230109,11,0.5,0.0,0.0
20230109,12,-0.5,0.0,0.0
20230109,13,-1.0,0.0,0.0
20230109,14,-1.4,0.0,0.0
20230109,15,-2.3,0.0,0.0
20230109,16,-2.3,0.0,0.0
20230109,17,-2.7,0.0,0.0
20230109,18,-2.8,0.0,0.0
20230109,19,-3.3,0.0,0.0
20230109,20,-3.6,0.0,0.0
20230109,21,-3.7,0.0,0.0
20230109,22,-3.7,0.0,0.0
20230109,23,-2.4,0.0,0.0
20230110,0,0.3,0.0,0.0
20230110,1,3.0,0.0,0.0
20230110,2,5.1,0.0,0.0
20230110,3,7.2,0.0,0.0
20230110,4,8.7,0.0,0.0
20230110,5,8.8,0.0,0.0
20230110,6,8.1,0.0,0.0
20230110,7,6.0,0.0,0.0
20230110,8,4.7,0.0,0.0
20230110,9,4.0,0.0,0.0
20230110,10,3.3,0.0,0.0
20230110,11,2.7,0.0,0.0
20230110,12,2.1,0.0,0.0
20230110,13,1.9,0.0,0.0
20230110,14,1.0,0.0,0.0
20230110,15,0.3,0.0,0.0
20230110,16,-0.2,0.0,0.0
20230110,17,-0.4,0.0,0.0
20230110,18,-0.8,0.0,0.0
20230110,19,-0.8,0.0,0.0
20230110,20,-1.1,0.0,0.0
20230110,21,-1.4,0.0,0.0
20230110,22,-1.9,0.0,0.0
20230110,23,-0.9,0.0,0.0
20230111,0,1.9,0.0,0.0
20230111,1,3.9,0.0,0.0
20230111,2,5.5,0.0,0.0
20230111,3,7.6,0.0,0.0
20230111,4,8.9,0.0,0.0
20230111,5,8.8,0.0,0.0
20230111,6,8.4,0.0,0.0
20230111,7,6.6,0.0,0.0
20230111,8,5.1,0.0,0.0
20230111,9,4.2,0.0,0.0
20230111,10,3.4,0.0,0.0
20230111,11,3.2,0.0,0.0
20230111,12,2.9,0.0,0.0
20230111,13,2.3,0.0,0.0
20230111,14,1.4,0.0,0.0
20230111,15,0.9,0.0,0.0
20230111,16,0.6,0.0,0.0
20230111,17,0.2,0.0,0.0
20230111,18,0.0,0.0,0.0
20230111,19,-0.2,0.0,0.0
20230111,20,-0.2,0.0,0.0
20230111,21,-0.4,0.0,0.0
20230111,22,0.0,0.0,0.0
20230111,23,2.0,0.0,0.0
20230112,0,4.4,0.0,0.0
20230112,1,6.9,0.0,0.0
20230112,2,8.5,0.0,0.0
20230112,3,10.3,0.0,0.0
20230112,4,11.6,0.0,0.0
20230112,5,12.1,0.0,0.0
20230112,6,12.3,0.0,0.0
20230112,7,11.0,0.0,0.0
20230112,8,8.9,0.0,0.0
20230112,9,7.9,0.0,0.0
20230112,10,7.3,0.0,0.0
20230112,11,7.4,0.0,0.0
20230112,12,8.2,0.0,0.0
20230112,13,8.5,0.0,0.0
20230112,14,8.0,0.2,1.0
20230112,15,6.8,0.8,1.0
20230112,16,5.3,6.8,1.0
20230112,17,5.2,3.6,1.0
20230112,18,5.7,1.3,1.0
20230112,19,6.4,2.8,1.0
20230112,20,7.0,5.9,1.0
20230112,21,7.8,10.6,1.0
20230112,22,8.0,2.5,1.0
20230112,23,8.2,1.3,1.0
20230113,0,8.5,0.2,0.0
20230113,1,8.7,0.1,0.0
20230113,2,9.0,0.0,0.0
20230113,3,9.2,0.0,0.0
20230113,4,9.4,0.0,0.0
20230113,5,9.9,0.4,1.0
20230113,6,9.9,0.2,1.0
20230113,7,10.0,0.3,1.0
20230113,8,9.9,0.1,1.0
20230113,9,9.6,0.1,0.0
20230113,10,9.4,0.0,0.0
20230113,11,9.2,0.0,0.0
20230113,12,9.1,0.1,0.0
20230113,13,8.8,0.0,0.0
20230113,14,8.3,0.0,0.0
20230113,15,8.4,0.1,0.0
20230113,16,8.0,0.0,0.0
