date,min_temp,max_temp
20230101,-6.9,3.2
20230102,-8.8,-0.5
20230103,-5.5,0.0
20230104,-5.5,3.1
20230105,-4.6,3.4
20230106,-0.5,5.7
20230107,-3.6,3.6
20230108,-0.3,6.1
20230109,-3.7,6.7
20230110,-1.9,8.8
20230111,-0.4,8.9
20230112,4.4,12.3
20230113,7.6,10.0
20230114,0.7,8.0
20230115,-6.6,0.3
20230116,-6.9,-1.4
20230117,-4.5,-0.6
20230118,-5.8,1.9
20230119,-3.9,4.2
20230120,-10.3,-1.9
20230121,-6.1,1.1
20230122,-1.6,2.5
20230123,-16.5,4.2
20230124,-18.8,-12.5
20230125,-13.9,-5.4
20230126,-8.5,-3.4
20230127,-11.0,-4.3
20230128,-7.8,-0.6
20230129,-4.3,4.5
20230130,-3.4,4.1
20230131,-0.4,7.6
20230201,-4.9,4.4
20230202,-3.8,1.2
20230203,-4.9,2.9
20230204,-3.1,5.6
20230205,-1.6,7.0
20230206,-0.4,8.7
20230207,-1.1,9.2
20230208,-2.7,7.6
20230209,2.0,7.6
20230210,-1.0,5.8
20230211,-0.7,8.5
20230212,2.1,7.4
20230213,-2.2,8.4
20230214,-1.1,6.4
20230215,1.9,8.7
20230216,-1.4,4.0
20230217,0.6,9.7
20230218,3.2,8.1
20230219,-1.3,5.6
20230220,-4.9,2.3
20230221,-4.4,4.6
20230222,-1.7,7.7
20230223,1.4,8.8
20230224,-2.7,8.1
20230225,-3.1,5.2
20230226,-1.7,8.6
20230227,-0.5,11.8
20230228,3.8,8.5
20230301,-1.5,8.9
20230302,-1.7,6.2
20230303,3.8,9.9
20230304,2.6,14.1
20230305,2.3,15.4
20230306,6.3,15.9
20230307,7.5,19.2
20230308,9.7,17.0
20230309,6.2,11.9
20230310,10.2,22.1
20230311,6.5,22.3
20230312,-1.7,7.1
20230313,2.1,7.4
20230314,6.6,15.1
20230315,0.6,14.4
20230316,0.9,8.7
20230317,2.7,12.4
20230318,2.4,13.8
20230319,2.9,14.9
20230320,5.1,16.7
20230321,9.3,22.0
20230322,15.0,25.0
20230323,7.9,23.0
20230324,8.2,18.3
20230325,7.0,18.6
20230326,1.9,13.9
20230327,2.9,14.1
20230328,5.3,15.3
20230329,6.5,19.5
20230330,7.7,20.9
20230331,9.6,23.5
